BOLETANUM,ARTICULO,CANTIDAD,COSTO,FECHAENTRA,FECHAVENTA,VALORVENTA,INTERESES,VENDIDO,COMPRADO,GRAMOS,IVA
185614,* EQUIPO DE SONIDO S,,250000,2010-07-28,2010-07-31,250000,200000,True,False,0.0,
186116,*RELOJ PH DMARIO  ME,,50000,2010-07-28,,,,False,False,0.0,
186730,+CADENA CON TRES DIJ,,90000,2010-10-25,,,,False,False,3.6,
186734,+ARGOLLA  GRAFILADA,,600000,2010-10-25,,,,False,False,17.9,
186750,+DOS DIJES P.VERDES,,70000,2010-10-25,,,,False,False,2.8,
186782,+ANILLO PD  P CIRCON,,35000,2010-10-25,,,,False,False,0.9,
186810,+CADENA SOLA,,1000000,2010-10-25,,,,False,False,29.2,
186821,+UNA PULSERA SOLA,,150000,2010-10-25,,,,False,False,5.1,
186834,+DOS ANILLOS PD P CI,,160000,2010-10-25,,,,False,False,4.2,
186866,+CADENA CON DIJE Y D,,140000,2010-10-25,,,,False,False,4.1,
186867,+ANILLO PH  P,,150000,2010-10-25,,,,False,False,6.3,
186868,+CADENA Y PULSERA (R,,450000,2010-10-25,,,,False,False,11.6,
186883,+CADENA SOLA,,400000,2010-10-25,,,,False,False,11.4,
186887,+UN PAR DE ARETES DO,,500000,2010-10-25,,,,False,False,12.2,
186894,+ARGOLLA GRAFILADA Y,,60000,2010-10-25,,,,False,False,4.5,
186918,+ARGOLLA GRAFILADA,,100000,2010-10-25,,,,False,False,2.8,
186926,+ANILLO PH  P CIRCON,,100000,2010-10-25,,,,False,False,3.2,
186933,+ESCLAVA,,120000,2010-10-25,,,,False,False,3.3,
186943,+ CADENA CON DIJE,,200000,2010-10-25,,,,False,False,5.9,
186959,+PULSERA SOLA,,60000,2010-10-25,,,,False,False,2.0,
186960,+DOS ANILLOS PD P CI,,60000,2010-10-25,,,,False,False,4.5,
186961,+CADENA CON DIJE,,70000,2010-10-25,,,,False,False,3.1,
186966,+ANILLO PD CIRCON UN,,50000,2010-10-25,,,,False,False,1.4,
186979,+DIJE  P BLANCA,,20000,2010-10-25,,,,False,False,1.5,
187020,+CADENA ARGOLLA GRAF,,300000,2010-10-25,,,,False,False,9.4,
187021,+ARGOLLA GRAFILADA (,,100000,2010-10-25,,,,False,False,2.7,
187034,+CANDONGA SOLA,,100000,2010-10-25,,,,False,False,2.6,
187037,+CADENA SOLA,,230000,2010-10-25,,,,False,False,6.5,
187048,+ANILLO PD P VERDES,,50000,2010-10-25,,,,False,False,1.6,
187056,+DIJE,,150000,2010-10-25,,,,False,False,5.5,
187057,+UN DIJE PLACA CRIST,,50000,2010-10-25,,,,False,False,3.3,
187061,+ARGOLLA LISA,,130000,2010-10-25,,,,False,False,4.5,
187068,+CADENA CON DIJE (AN,,380000,2010-10-25,,,,False,False,11.4,
187079,+CADENA SOLA,,30000,2010-10-25,,,,False,False,1.3,
187080,+DIJE SOLO,,40000,2010-10-25,,,,False,False,3.3,
187133,+ANILLO PD P.CIRCONE,,100000,2010-10-25,,,,False,False,3.3,
187139,+ARGOLLA GRAFILADA,,120000,2010-10-25,,,,False,False,3.4,
187144,+ANILLO PD P CIRCON,,120000,2010-10-25,,,,False,False,5.3,
187146,+ANILLO PD PCIRCON,,200000,2010-10-25,,,,False,False,5.0,
187147,+CADENA CON DIJE (RO,,500000,2010-10-25,,,,False,False,17.4,
187159,+ANILLO PH P ORO BAJ,,100000,2010-10-25,,,,False,False,5.3,
187166,+ PAR DE TOPOS,,10000,2010-10-25,,,,False,False,0.4,
187174,+CADENA SOLA,,700000,2010-10-25,,,,False,False,15.8,
187183,+ANILLO PD P CIRCON,,50000,2010-10-25,,,,False,False,1.6,
187187,+DOS ANILLOS PD  P C,,60000,2010-10-25,,,,False,False,4.5,
187195,+ARGOLLA  DOS OROS,,180000,2010-10-25,,,,False,False,6.4,
187212,+ANILLO PD P CIRCONE,,100000,2010-10-25,,,,False,False,2.5,
187217,+PULSERA REVENTADA,,70000,2010-10-25,,,,False,False,2.0,
