BOLETANUM,ARTICULO,CANTIDAD,COSTO,FECHAENTRA,FECHAVENTA,VALORVENTA,INTERESES,VENDIDO,COMPRADO,GRAMOS,IVA,NUMFAC
 10725,RELOJ PH.SANDOZ.,0,70000,2004-09-01,2012-05-15,70000,0,True,False,0.0,0,
 10924,"RELOJ PH.(GUCCI).RAYADO,*3000.2.M/0428439.",0,40000,2004-09-01,2012-05-15,40000,0,True,False,0.0,0,
 11095,RELOJ PH.SWATCH(SR626SW).,0,50000,2005-01-03,2012-05-15,50000,0,True,False,0.0,0,
 11181,RELOJ PH.SWATCH(SR626SW/GBX2.5).,0,30000,2005-01-03,2012-05-15,30000,0,True,False,0.0,0,
 10120,"RELOJ PD.""GROVANA"".",0,20000,2005-01-31,2012-05-15,20000,0,True,False,0.0,0,
 10717,RELOJ PH.SANDOZ.HC-6026.,0,150000,2005-01-31,2012-05-15,150000,0,True,False,0.0,0,
 11738,"RELOJ PH.CITIZEN TABLERO AMARILLA,MANILLA NEGRA SERIAL NUMERO 3015500.",0,40000,2005-07-30,2012-05-15,40000,0,True,False,0.0,0,
 11760,"RELOJ PH.CITIZEN TABLERO BLANCO,TITANIUM #760015.USADO.",0,100000,2005-07-30,2012-05-15,100000,0,True,False,0.0,0,
 11939,"RELOJ PH.CITIZEN TABLERO NEGRO.MANILLA NEGRA USADO,SERIAL NUMERO 0107790.",0,20000,2005-07-30,2012-05-15,20000,0,True,False,0.0,0,
 12037,RELOJ PD.ORIENT TABLERO Y PULSO AMARILLO SERIAL NUMERO UB3M.USADO.,0,20000,2005-07-30,2006-01-28,20000,30000,True,False,0.0,0,
 12077,"RELOJ PH.SEIKO TABLERO NEGRO.MANILLA CAMBIADA,SERIAL NUMERO 682423.USADO.",0,25000,2005-07-30,2006-01-28,25000,20000,True,False,0.0,0,
 12087,"RELOJ PH.ORIENT TABLERO BLANCO,MANILLA CAMBIADA.SERIAL NUMERO HT79B4.USADO.",0,15000,2005-07-30,2012-05-15,15000,0,True,False,0.0,0,
 12155,RELOJ PH.SANDOZ MODELO HC-6026.MANILLA CAMBIADA.DIJE.,0,50000,2005-07-30,2006-01-28,50000,20000,True,False,0.0,0,
 12207,"RELOJ PD. MILITARY,TABLERO BLANCO.,ANILLA METALICA.SERIAL NUMERO 6-613.6-713.",0,30000,2005-07-30,2012-05-15,30000,0,True,False,0.0,0,
 12320,"RELOJ PD.ORIENT TABLERO Y PULSO AMARILLO,SELLO DE GARANTIA (EN ESTUCHE).",0,20000,2005-07-30,2012-05-15,20000,0,True,False,0.0,0,
 12379,"RELOJ PH.CASIO TABLERO GRIS,MANILLA AMRILLA SERIAL NUERO 2490 STR-101.USADO EN ESTUCHE.",0,30000,2005-07-30,2012-05-15,30000,0,True,False,0.0,0,
 12380,"RELOJ PH.ORIENT TABLERO BLANCO,MANILLA AMARILLA SERIAL NUMERO QBBQ-AO CS.USADO.",0,20000,2005-07-30,2012-05-15,20000,0,True,False,0.0,0,
 12474,"RELOJ PH.CHANDOR TABLERO AMARILLO,SERIAL NUMERO 10694017.USADO.",0,30000,2005-07-30,2012-05-15,30000,0,True,False,0.0,0,
 12677,"RELOJ PD.D.MARIO TABLERO BLANCO,MANILLA COMBINADA,SERIAL NUMERO 0108.USADO.EN ESTUCHE.",0,30000,2005-07-30,2012-05-15,30000,0,True,False,0.0,0,
 12742,"RELOJ PH.TABLERO BLANCO,MANILLA METALICA PELADA,SERIAL NUMERO 5094-00.USADO.",0,15000,2005-07-30,2012-05-15,15000,0,True,False,0.0,0,
 12790,RELOJ PH.CASIO MANILLA NEGRA.SERIAL NUMERO 2471.,0,40000,2005-07-30,2012-05-15,40000,0,True,False,0.0,0,
 12869,"RELOJ PH.CHANDOR TABLERO BLANCO,MANILLA METALICA SERIAL NUMERO 70E7.USADO.",0,15000,2005-12-14,2012-05-15,15000,0,True,False,0.0,0,
 12987,MINIGRABADORA SONY USADA.,0,15000,2005-12-14,2010-02-25,15000,5000,True,False,0.0,0,
 13004,"RELOJ PD.ANDREE.USADO,PELADO.",0,15000,2005-12-14,2012-05-15,15000,0,True,False,0.0,0,
 13026,"RELOJ PH.TISSOT TABLERO BLANCO,MANILLA METALICA,SERIAL NUMERO A665/765K.USADO.",0,50000,2005-12-14,2012-05-15,50000,0,True,False,0.0,0,
 13268,"RELOJ PH.CASIO TABLERO BLANCO,MANILLA COMBINADA.SERIAL NUMERO 1129.USADO.",0,30000,2005-12-14,2012-05-15,30000,0,True,False,0.0,0,
 13347,"RELOJ PH.CITIZEN TAB. Y MANILLA NEGRA,SERIAL NUMERO 075816.RAYADO.",0,40000,2005-12-14,2012-05-15,40000,0,True,False,0.0,0,
 13396,"RELOJ PH.TISSOT TABLERO BLANCO,MANILLA COMBIANADA,SERIAL NUMERO 0742.ESTUCHE.",0,100000,2005-12-14,2012-05-15,100000,0,True,False,0.0,0,
 13449,"RELOJ PD.GUCCI TABLERO BLANCO,#1500L.USADO.",0,100000,2005-12-14,2012-05-15,100000,0,True,False,0.0,0,
 13563,"RELOJ PH.TISSOT TABLERO BLANCO,MANILLA METALICA SERIAL NUMERO 52635.RAYADO.ESTUCHE.",0,70000,2006-05-11,2012-05-15,70000,0,True,False,0.0,0,
 13675,MINIRADIO SONY.ESTUCHE.USADO.,0,30000,2006-05-11,,0,0,False,False,0.0,0,
 13757,"RELOJ PH.BULOVA TABLERO Y MANILLA AMARILLA,SERIAL NUMERO 3063-5020.ESTUCHE.",0,50000,2006-05-11,2012-05-15,50000,0,True,False,0.0,0,
 13759,RELOJ PD.CITIZEN TABLERO Y MANILLA AMARILLA SERIAL NUMERO 598226.,0,60000,2006-05-11,2012-05-15,60000,0,True,False,0.0,0,
 13810,"RELOJ PH.BULOVA TABLERO BLANCO,MANILLA METALICA,RAYADO.1152G.USADO.",0,25000,2006-05-11,2012-05-15,25000,0,True,False,0.0,0,
 13970,"DISC-MAN COBY,AUDIFONOS. SERIAL NUMERO 0654004711.",0,30000,2006-05-11,,0,0,False,False,0.0,0,
 14090,"RELOJ PH.SWATCH TABLERO AMARILLA,MANILLA NEGRA.USADO.",0,30000,2006-05-11,2012-05-15,30000,0,True,False,0.0,0,
 14133,"RELOJ PD.CITIZEN TABLERO BLANCO,MANILLA AMARILLA SERIAL NUMERO 040244.USADO.",0,80000,2006-05-11,2012-05-15,80000,0,True,False,0.0,0,
 14316,"RELOJ PH.CASIO TABLERO NEGRO,MANILLA NEGRA,SERIAL NUMERO 2161.USADO.",0,50000,2006-05-11,2012-05-15,50000,0,True,False,0.0,0,
 14370,"RELOJ PH.EDOX TABLERO NEGRO,MANILLA METALICA SERIAL NUMERO 27001.USADO.",0,100000,2006-05-11,2012-05-15,100000,0,True,False,0.0,0,
 14391,"AGENDA DIGITAL SHARP.ESTUCHE,MANUAL.",0,30000,2006-08-31,2007-06-15,30000,10000,True,False,0.0,0,
 14453,RELOJ PH.SWACTH TABLERO Y MANILLA COMBINADA USADO.,0,30000,2006-08-31,2007-11-27,30000,0,True,False,0.0,0,
 14464,RELOJ PH.SWATCH TABLERO NEGRO.MANILLA NEGRA.USADO.,0,50000,2006-08-31,2006-12-30,50000,50000,True,False,0.0,0,
 14514,"RELOJ PD.GRIVANNA TABLERO BLANCO,MANILLA AMARILLA PELADA.USADO.",0,15000,2006-08-31,2007-06-02,15000,10000,True,False,0.0,0,
 14518,"RELOJ PH.SWATCH TABLERO AZUL,MANILLA METALICA,USADO.",0,80000,2006-08-31,2007-02-26,80000,40000,True,False,0.0,0,
 14685,"RELOJ PH.RAYMOND TABLERO BLANCO,SERIAL NUMERO 536150.USADO.",0,500000,2006-08-31,2007-04-20,500000,150000,True,False,0.0,0,
 14690,"RELOJ PD.LONGINES,TABLERO NEGRO,MANILLA AMARILLA,USADO,RAYADO.",0,70000,2006-08-31,2006-10-09,70000,30000,True,False,0.0,0,
 14801,RELOJ PH.ARMY  TABLERO BLANCO.USADO.,0,25000,2006-08-31,2006-10-09,25000,25000,True,False,0.0,0,
 14837,"RELOJ PH.MIDO,TABLERO CHAMPANA,MANILLA AMARILLA,SERIAL NUMERO 8419.USADO.",0,200000,2006-08-31,2006-10-09,200000,150000,True,False,0.0,0,
 14900,"RELOJ PH.PHILLIPE ANIEL,TABLERO BLANCO,MANILLA METALICA,SERIAL NUMERO 6065.USADO.",0,30000,2006-08-31,2007-03-05,30000,15000,True,False,0.0,0,
 14952,RELOJ PH.SWATCH TABLERO NEGR O Y AMARILLO. USADO.,0,20000,2006-08-31,2009-06-24,20000,10000,True,False,0.0,0,
 14968,"WALKMAN SONY,SERIAL NUMERO 189480.SIN AUDIFONOS.USADO,PELADO.",0,15000,2006-08-31,2008-10-15,15000,10000,True,False,0.0,0,
 15028,RELOJ PH.ORIENT TABLERO Y PULSO AMARILLO.SELLO GARANTIA.USADO.,0,30000,2006-11-18,2006-12-11,30000,40000,True,False,0.0,0,
 15041,"RELOJ PH.CARTIER TABLERO NEGRO,MANILLA COMBINADA,SERIAL NUMERO 23779PL.USADO.",0,100000,2006-11-18,2010-11-27,100000,20000,True,False,0.0,0,
 15044,"RELOJ PH.ORIENT TABLERO AZUL,SERIAL NUMERO TEDE-00.USADO.",0,50000,2006-11-18,2012-05-15,50000,0,True,False,0.0,0,
 15287,"GRABADORA PEQUENA SONY,MODELO #TCM-359V.USADA.",0,20000,2007-01-11,,0,0,False,False,0.0,0,
 15331,SUMADORA CASIO MODELO DR-1212.USADA.,0,50000,2007-01-11,,0,0,False,False,0.0,0,
 15332,RELOJ PD.D.MARIO TABLERO AMARILLO SERIAL NUMERO DM0104.USADO.,0,30000,2007-01-11,2012-05-15,30000,0,True,False,0.0,0,
 15340,RELOJ PH.ORIENT TABLERO NEGRO MANILLA METALICA.USADO.,0,50000,2007-01-11,2007-03-05,50000,35000,True,False,0.0,0,
 15353,"RELOJ PD.BULOVA TABLERO BLANCO,PELADO.",0,50000,2007-01-11,2012-05-15,50000,0,True,False,0.0,0,
